test_id,timestamp,p_true,gamma_true_1,gamma_true_2,gamma_true_3,observed1_1,observed1_2,observed1_3,observed2_1,observed2_2,observed2_3,p1,p2,gamma_est_1,gamma_est_2,gamma_est_3,p_delta,gamma_mae
746,2025-04-19T16:21:09.070168,0.7192792521365717,0.6092462190227605,0.6138512058447493,0.7824176437542228,0.8881716365947975,0.8721125233150132,0.7377733162095319,0.8769728237499335,0.826566832349105,0.7685538295491487,0.580533582313338,0.5757535227986192,0.5422514499853182,0.5464024080046651,0.5512133536685189,0.004780059514718715,0.12188261898774351
747,2025-04-19T16:21:09.731092,0.79895055062279,0.6753247637790243,0.6940038739731844,0.7539277915250027,0.9,0.9,0.8965066439482341,0.9,0.8793685528078491,0.8333555298232732,0.805637732199404,0.6615021430161575,0.5449092257161209,0.5461274080475849,0.5488596095674153,0.14413558918324654,0.1611200619820301
748,2025-04-19T16:21:11.265521,0.2539204189280281,0.6426837230099306,0.6759434604079205,0.6995048797623453,0.4235199651256755,0.4785572685110546,0.435200867795323,0.43401601127501094,0.47418157907901926,0.4094778525443738,0.21027412860221265,0.22068638434339402,0.536158125499574,0.5361735314190631,0.5448499800049897,0.010412255741181375,0.1336501420855232
749,2025-04-19T16:21:11.605763,0.7021459545179787,0.5738074736249469,0.6791741932673545,0.7050208145446448,0.9,0.8732062424194676,0.8337487839829424,0.8688726215091622,0.8320139044153806,0.7889856434426874,0.651628256892897,0.5860721117739716,0.5436319908759991,0.54655858722404,0.5499943425067042,0.06555614511892549,0.10593918694340095
750,2025-04-19T16:21:12.185100,0.06872600119830563,0.5305664292503103,0.5718595517638378,0.7207461286231553,0.2199579072502783,0.22628814838576417,0.11823782382427846,0.22545021387490377,0.19257385070245583,0.14383524508462547,0.10000438108385529,0.1,0.5586987926557069,0.5589280773904862,0.5589291554156297,4.381083855281576e-06,0.06762693699542462
751,2025-04-19T16:21:12.531601,0.10211983800039834,0.5221093090289081,0.6851416895249134,0.7817239911351299,0.3418412710943207,0.17884475205563707,0.12979735017035782,0.30330587874463977,0.1893063357060416,0.1746110685615705,0.10000368270039314,0.10000383344837313,0.549632013883169,0.5589097658871257,0.5589387050566568,1.5074797998781975e-07,0.12551330485684056
752,2025-04-19T16:21:13.026517,0.874853642456152,0.5619920579811001,0.609769932403697,0.7460879425836507,0.9,0.9,0.9,0.9,0.9,0.9,0.7399030860642738,0.7342331264898754,0.5462018241143161,0.5462022132386821,0.5462026559319539,0.00566995957439842,0.09308107989449858
753,2025-04-19T16:21:13.646115,0.7093289559090719,0.5841728078729276,0.6304390327522357,0.6788766115821248,0.8199988998362102,0.8160436613374935,0.8324897682857437,0.8536370534005346,0.8619578968056802,0.8673232326286948,0.5731407332366772,0.6335791729121512,0.5464274684092884,0.5464718564745623,0.5465741890461685,0.06043843967547391,0.08467164609242295
754,2025-04-19T16:21:14.076844,0.1514161798867262,0.6125422967616108,0.6635078061751215,0.7815968571261656,0.3242981070839853,0.33256341132555073,0.26082386843558714,0.364191063856601,0.30093057829133124,0.20402648597677023,0.10000438108385529,0.10000438108385529,0.5420560083022851,0.5499497890395605,0.5756474767279144,0.0,0.12999789533104597
755,2025-04-19T16:21:14.606174,0.46135015026443116,0.7204695896390113,0.7374312221020556,0.7867441309245277,0.605165398868098,0.6080342033506226,0.5889807789977857,0.5663381988882223,0.606279275365569,0.5993789694132564,0.37556662981966493,0.41312071760975566,0.553922403777353,0.553923635329468,0.5539240882486584,0.03755408779009073,0.19429160510337173
